,image,url,etoile,Nom,Telephone,Adress,Façon Cuisine,Description,Derssert,étoils cusine,Website,href,Ville,codePosttal,Coordinates
405,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/a34d7a2fc3d14eed88a23504d62a4b37.jpg,/fr/fr/bourgogne-franche-comte/chagny/restaurant/maison-lameloise,Trois étoiles, Maison Lameloise,+33 3 85 87 65 65,"36 place d'Armes, Chagny, 71150, France",Cuisine moderne,"Impossible de résumer en quelques lignes l'histoire de cette institution qui entama son parcours étoilé en... 1926 ! Installée dans une charmante succession de petites salles chaleureuses aux ambiances différentes, cette vénérable maison n'a pas pour autant l'âme nostalgique. Ancien second de Jacques Lameloise, Éric Pras, devenu chef en 2009 à la suite du maître, le résume en une phrase programmatique : « La tradition, c'est l'avenir. » Fidèle à l'esprit des lieux, aussi inspiré que pointilleux, il rend hommage au terroir bourguignon (escargots, volaille de Bresse, bœuf charolais, cazette du Morvan) tout en restant en phase avec l'époque. Très belle sélection de vins, au verre notamment.",Trois étoiles : une cuisine unique,Trois étoiles : une cuisine unique,https://www.lameloise.fr/,/fr/fr/bourgogne-franche-comte/chagny/restaurant/maison-lameloise, Chagny,71150,"[4.753006, 46.907919]"
406,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/2f66237572564e248338a29baced6689.jpeg,/fr/fr/bourgogne-franche-comte/chaintr/restaurant/la-table-de-chaintre,Une étoile, La Table de Chaintré,+33 3 85 32 90 95,"72 place du Luminaire, Chaintré, 71570, France",Cuisine moderne,"La maison régionale dans toute sa splendeur ! Dans ce village typique niché au milieu du vignoble de Pouilly-Fuissé, on trouve un jeune couple sympathique et travailleur. Lui, en cuisine, pioche de beaux produits au marché et les magnifie avec des assiettes bien troussées. À titre d'exemple, citons ces asperges vertes et sardines bretonnes, ce homard normand au beurre mousseux, ou encore cette tranche de veau fermier avec radis multicolores et brocolis violets... Le tout accompagné de beaux nectars de Bourgogne et du Beaujolais. Envie d'y retourner ? Aucun souci, le menu unique est renouvelé chaque semaine. On aurait tort de se priver.",Une étoile : une cuisine d’une grande finesse,Une étoile : une cuisine d’une grande finesse,https://www.latabledechaintre.com,/fr/fr/bourgogne-franche-comte/chaintr/restaurant/la-table-de-chaintre, Chaintré,71570,"[4.760144, 46.260415]"
407,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/2e9856cb5a004940b17248112ac0999a.jpeg,/fr/fr/bourgogne-franche-comte/chalon-sur-sane/restaurant/aromatique,Gourmande, Aromatique,+33 3 58 09 62 25,"14 rue de Strasbourg, Chalon-sur-Saône, 71100, France",Cuisine moderne,"Ici, c'est en couple que l'on Aromatise ! Fabien, en cuisine, compose une cuisine au goût du jour avec une pointe de créativité et inspirée à base de bons produits frais... et une petite touche d'épices ; Émilie, en salle, accueille chaleureusement la clientèle. Aucun risque de déjà-vu : le menu proposé au dîner est renouvelé très régulièrement et celui présenté au déjeuner est une aubaine. Un coup de cœur.",Une cuisine de qualité,0,https://www.aromatique-restaurant.com,/fr/fr/bourgogne-franche-comte/chalon-sur-sane/restaurant/aromatique, Chalon-sur-Saône,71100,"[4.859803, 46.779908]"
408,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d42604ed87d34f03b873dcfbd4f6ed3d.jpeg,/fr/fr/bourgogne-franche-comte/chalon-sur-sane/restaurant/le-bistrot1892,Gourmande, Le Bistrot,+33 3 85 93 22 01,"31 rue de Strasbourg, Chalon-sur-Saône, 71100, France",Cuisine moderne,"Sur l’île St-Laurent, un bistrot au cadre contemporain où le chef propose un menu à prix tendre le midi bien ficelé à l'image de cette mousse tiède aux champignon parfumé au vin jaune et son émulsion au Mont d'Or et une partition plus élaborée le soir (foie gras, turbot, homard). À noter que légumes et fruits proviennent en partie du potager ; fraîcheur garantie.",Une cuisine de qualité,0,https://www.restaurant-le-bistrot.fr/,/fr/fr/bourgogne-franche-comte/chalon-sur-sane/restaurant/le-bistrot1892, Chalon-sur-Saône,71100,"[4.860838, 46.779721]"
409,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/63dff72dc60d4e77a6716241b9cc3ebe.jpeg,/fr/fr/bourgogne-franche-comte/chalon-sur-sane/restaurant/les-gourmands-disent,Gourmande, Les Gourmands Disent,+33 3 85 48 75 21,"59 rue de Strasbourg, Chalon-sur-Saône, 71100, France",Cuisine moderne,"Dans la ""rue des restaurants"" de l'île St-Laurent, un duo de passionnés (Laurent au salé, Nadine au sucré) fait battre le cœur de cette petite adresse sympathique. Dans un cadre bourguignon avec pierres apparentes et plafond à la française, on déguste des plats maîtrisés et on en prend plein la vue avec des desserts en trompe-l’œil, comme ce Montecristo au chocolat. Les gourmands habitués vous le diront : mieux vaut réserver !",Une cuisine de qualité,0,https://www.les-gourmands-disent-restaurant.fr/,/fr/fr/bourgogne-franche-comte/chalon-sur-sane/restaurant/les-gourmands-disent, Chalon-sur-Saône,71100,"[4.86245, 46.779376]"
410,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/7aede400de954df7a008d3c70b446fb7.jpeg,/fr/fr/bourgogne-franche-comte/chambolle-musigny/restaurant/le-millesime,Gourmande, Le Millésime,+33 3 80 62 80 37,"1 rue Traversière, Chambolle-Musigny, 21220, France",Cuisine moderne,"Au cœur des belles vignes de ce village vigneron, cette bâtisse toute pimpante abrite un restaurant contemporain. Un chef y joue habilement de plusieurs registres gourmands, non sans une certaine audace (à l’image de son tartare de bulots bichonné par une émulsion au foie gras). Le déjeuner est une aubaine, comme on l’a constaté avec le gâteau de foie blond de volaille, sauce crustacés ou ce faux-filet Black Angus, jus pinot noir et condiments d'automne. La carte navigue entre recettes traditionnelles et préparations plus élaborées, les œufs en meurette côtoient le homard breton en croûte de chorizo, nage de girolle, vin jaune. Mitoyen de l’établissement, le caveau des Musigny (qui appartient au propriétaire) propose des dégustations avant d’acheter du vin.",Une cuisine de qualité,0,https://www.restaurant-le-millesime.com,/fr/fr/bourgogne-franche-comte/chambolle-musigny/restaurant/le-millesime, Chambolle-Musigny,21220,"[4.950291, 47.185829]"
411,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/3ee7c9f44e0d4dfb8634b890af7292ab.jpg,/fr/fr/bourgogne-franche-comte/chamesol/restaurant/mon-plaisir,Gourmande, Mon Plaisir,+33 3 81 92 56 17,"22 lieu-dit Journal, Chamesol, 25190, France",Cuisine moderne,"Dans cette accueillante maison de pays, le chef Christian Pilloud travaille chacune de ses assiettes avec sérieux. En chef classique ouvert à la modernité, il recherche les bons produits du terroir bourguignon et franc-comtois pour réaliser des plats généreux : champignons d'automne et escargots fermiers ; croustillant de souris et ris de veau aux morilles, jus au vin jaune ; pigeon royal en croûte de feuilletage...",Une cuisine de qualité,0,https://www.restaurant-mon-plaisir.fr,/fr/fr/bourgogne-franche-comte/chamesol/restaurant/mon-plaisir, Chamesol,25190,"[6.827181, 47.34664]"
412,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/441388e60cf046cb818948e4c4969149.jpeg,/fr/fr/bourgogne-franche-comte/champlive/restaurant/auberge-du-chateau-de-vaite,Gourmande, Auberge du Château de Vaite,+33 3 81 55 20 66,"17 Grande Rue, Champlive, 25360, France","Cuisine régionale, Cuisine traditionnelle","Dans la famille depuis les années 1960, cette auberge décline une cuisine traditionnelle mettant en avant le terroir franc-comtois. Les morilles sont à l'honneur avec le sandre ou encore le poulet au vin jaune, sans oublier les grenouilles fraîches de l'étang du restaurant en saison. Étonnant : ce distributeur de plats faits maison mis en place à côté du restaurant !",Une cuisine de qualité,0,https://www.auberge-chateau-vaite.com,/fr/fr/bourgogne-franche-comte/champlive/restaurant/auberge-du-chateau-de-vaite, Champlive,25360,"[6.246761, 47.288485]"
413,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/416779fd9cec4fb0ac1ed5b1fcab4d27.jpg,/fr/fr/bourgogne-franche-comte/charolles/restaurant/frederic-doucet,Une étoile, Frédéric Doucet,+33 3 85 24 11 32,"2 avenue de la Libération, Charolles, 71120, France",Cuisine moderne,"La table de Frédéric Doucet, c’est une certaine idée du terroir et de la tradition, réinventés avec passion et créativité. Fils de bistrotiers, cet enfant de la balle a roulé sa bosse chez les plus grands, de Pierre Orsi à Paul Bocuse en passant par l’illustre maison Troisgros. Dans sa maison blottie au cœur d’un village aux tours pointues et aux toits patinés, le chef administre une solide leçon de choses : rien que de beaux produits de Saône-et-Loire (bœuf charolais, escargots, truite de Crisenon ou fromage de chèvre), servis par une technique classique rigoureuse qui n’exclut jamais l’inspiration. Les ""jambonnettes de grenouilles laquées aux couleurs des prairies charolaises"" ou ""le bœuf est dans le pré"" s'affirment ainsi comme des incontournables. Une maison qui sait aussi retenir avec son spa et ses chambres fort agréables.",Une étoile : une cuisine d’une grande finesse,Une étoile : une cuisine d’une grande finesse,http://www.maison-doucet.com,/fr/fr/bourgogne-franche-comte/charolles/restaurant/frederic-doucet, Charolles,71120,"[4.275126, 46.433429]"
414,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b2acb3e8ba62438eb6e6e7d3179db788.jpeg,/fr/fr/bourgogne-franche-comte/charolles/restaurant/le-bistrot-du-quai,Gourmande, Le Bistrot du Quai,+33 3 85 25 51 75,"1 avenue de la Libération, Charolles, 71120, France",Cuisine bourguignonne,"Dans la deuxième adresse de la maison Doucet, le chef propose une cuisine traditionnelle et des viandes cuites à la broche. Menu du jour rythmé par les saisons, et menu charolais, mettant en avant les produits du terroir bourguignon. Terrasse surplombant le cours d’eau.",Une cuisine de qualité,0,http://www.maison-doucet.com,/fr/fr/bourgogne-franche-comte/charolles/restaurant/le-bistrot-du-quai, Charolles,71120,"[4.275241, 46.43348]"
415,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/1f7130fadf9f4757af3c216656cc099f.jpg,/fr/fr/bourgogne-franche-comte/chassagne-montrachet/restaurant/ed-em,Une étoile, Ed.Em,+33 3 80 21 94 94,"4 impasse Chenevottes, Chassagne-Montrachet, 21190, France",Cuisine moderne,"Ed.Em ? La contraction d'Édouard et Émilie, qui se sont rencontrés chez Régis Marcon : un jeune chef au solide parcours, commencé au Quai d’Orsay, poursuivi chez Philippe Rochat et Lameloise, et une pâtissière talentueuse qui parachève délicieusement le menu unique en plusieurs services. Avant, on aura goûté à la cuisine du chef, à la fois personnelle et subtile, à base de bons produits. Qu'on en juge : bœuf charolais en tataki associé à l'omble chevalier mi-cuit (une entrée terre/mer originale), sans oublier ce dos de sandre à la cuisson délicate accompagné d'un travail soigné autour de la carotte... Une belle étape sur la route des vins.",Une étoile : une cuisine d’une grande finesse,Une étoile : une cuisine d’une grande finesse,http://www.restaurant-edem.com/fr,/fr/fr/bourgogne-franche-comte/chassagne-montrachet/restaurant/ed-em, Chassagne-Montrachet,21190,"[4.730792, 46.938504]"
416,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/fdaddfdfe12349b2bf1641901b963953.jpeg,/fr/fr/bourgogne-franche-comte/chevannes_1527445/restaurant/la-table-maison-lobies,Gourmande, La Table - Maison Lobies,+33 9 85 07 05 27,"2 rue Porte-d'en-Haut, Chevannes, 89240, France",Cuisine traditionnelle,"Au cœur d’un village, entre église et prairie, cette belle maison de maître du 18e s., précédée d’une cour, ouvre sur un décor traditionnel et raffiné. Elle fait à la fois office de foyer et d’outil de travail pour un couple passionné et tout sourire qui a tourné au sein de grands restaurants. Sun Young, pâtissière d’origine sud-coréenne, et le chef Jérémie fignolent à quatre mains une jolie mélodie gourmande, plutôt traditionnelle : volaille hyper moelleuse à la peau croustillante avec son excellente et généreuse fricassée de girolles, et sa purée riche en beurre ; effiloché de paleron de bœuf confit dans sa gelée agrémentée d'éclats de noisette et boosté par une vraie sauce moutardée aux échalotes ! Quant aux desserts (île flottante, crème anglaise à la vanille de Tahiti ou cheesecake aux framboises), c’est simple : ils font tous envie.",Une cuisine de qualité,0,http://www.latable-lobies.fr,/fr/fr/bourgogne-franche-comte/chevannes_1527445/restaurant/la-table-maison-lobies, Chevannes,89240,"[3.491393, 47.751274]"
417,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/2819996fda1e4afeae95a070a7a839e6.jpeg,/fr/fr/bourgogne-franche-comte/chorey-ls-beaune/restaurant/ermitage-de-corton,Gourmande, Ermitage de Corton,+33 3 80 22 05 28,"D974, Chorey-les-Beaune, 21200, France",Cuisine moderne,"Dans cette maison entourée de vignes et face à la ""montagne"" de Corton, le chef ne manque pas de mettre en avant ses producteurs locaux et propose une cuisine moderne et soignée sur des bases classiques, sans toutefois délaisser les escargots ou les traditionnels œufs en meurette réalisés dans les règles de l'art. Décor élégant, terrasse agréable et chambres spacieuses pour l'étape.",Une cuisine de qualité,0,https://www.ermitagecorton.com/,/fr/fr/bourgogne-franche-comte/chorey-ls-beaune/restaurant/ermitage-de-corton, Chorey-les-Beaune,21200,"[4.868715, 47.048172]"
418,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/7949f11947d8452b82e0420faa75d99d.jpeg,/fr/fr/bourgogne-franche-comte/coulanges-la-vineuse/restaurant/j-mca,Gourmande, J'MCA,+33 3 86 34 33 41,"12 rue André-Vildieu, Coulanges-la-Vineuse, 89580, France",Cuisine traditionnelle,"Une cuisine du marché, traditionnelle et bien ficelée, qui laisse s'épanouir de bons produits comme cette fricassée de ris de veau laqué, cacahuète et chou-fleur. La carte propose aussi des classiques à l'instar de la terrine maison, de la tatin d'oignons et endives, de la tête de veau, et même du gibier en saison. Et l'accueil est tout sourire dans cette maison en pierre, installée à deux pas de l'église et de la place du village.",Une cuisine de qualité,0,https://www.jmca-restaurant.fr,/fr/fr/bourgogne-franche-comte/coulanges-la-vineuse/restaurant/j-mca, Coulanges-la-Vineuse,89580,"[3.581846, 47.700725]"
419,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/2fa38248884d4c8b93d738008cf544bd.jpeg,/fr/fr/bourgogne-franche-comte/courban/restaurant/chateau-de-courban,Gourmande, Château de Courban,+33 3 80 93 78 69,"7 rue du Lavoir, Courban, 21520, France",Cuisine moderne,"Ce château, une élégante maison de maître du 19e s. à la façade ocre rose, trône au milieu de son parc. Précédé d'un salon cossu avec cheminée qui crépite, le restaurant occupe l'ancienne grange, anoblie par un plafond bourguignon, des lustres et des miroirs. En bon artisan, le chef transforme sa belle matière première en une fine cuisine de saison dont le goût est le fil conducteur : tomate confite et ses trois condiments ; cabillaud de ligne sauce bonne-femme ; pigeonneau de Racan, saucisse pigeon-foie gras, chou et jus truffé... Le repas se conclut de belle manière grâce à des desserts épurés et faibles en sucre. Carte des vins particulièrement riche en champagnes et bourgognes.",Une cuisine de qualité,0,https://chateaudecourban.com,/fr/fr/bourgogne-franche-comte/courban/restaurant/chateau-de-courban, Courban,21520,"[4.737426, 47.919177]"
420,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/2d764d1621c542bc9469d320636d314d.jpeg,/fr/fr/bourgogne-franche-comte/courlans/restaurant/auberge-de-chavannes,Gourmande, Michel Béjeannin - Auberge de Chavannes,+33 3 84 43 24 34,"1890 avenue de Châlon, Courlans, 39570, France",Cuisine traditionnelle,"Une auberge contemporaine et chaleureuse avec cheminée qui crépite en hiver! Dans l'assiette, hommage à la Méditerranée avec la bouillabaisse (le chef a vécu à Marseille pendant 26 ans) mais aussi au terroir local avec la poularde de Bresse au vin jaune et morilles, clin d'œil à ses origines jurassiennes. Attrayante carte des vins axée bio et biodynamique. Chambres spacieuses pour l'étape.",Une cuisine de qualité,0,https://www.auberge-de-chavannes.com,/fr/fr/bourgogne-franche-comte/courlans/restaurant/auberge-de-chavannes, Courlans,39570,"[5.484195, 46.674375]"
421,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/8889bb4b5084471bbe4e077d03f927af.jpeg,/fr/fr/bourgogne-franche-comte/cuiseaux/restaurant/le-bistrot-gourmand,Gourmande, Le Bistrot Gourmand,+33 3 85 72 71 57,"8 place Puvis-de-Chavannes, Cuiseaux, 71480, France",Cuisine régionale,"""Plaisir et tradition"", telle est la devise de cette ancienne boucherie où Camille Maître, ayant repris l’affaire familiale, œuvre désormais seule en cuisine. Dans l'assiette, des produits des terroirs bressan et jurassien et des saveurs marquées comme avec cette quenelle de brochet, bisque de homard crémée. Et une jolie petite carte des vins en prime... Un bistrot gourmand, et souriant !",Une cuisine de qualité,0,https://www.lebistrotgourmand-cuiseaux.fr/,/fr/fr/bourgogne-franche-comte/cuiseaux/restaurant/le-bistrot-gourmand, Cuiseaux,71480,"[5.388683, 46.493608]"
422,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/fd0e076784dd4a0b827630765441c0c1.jpeg,/fr/fr/bourgogne-franche-comte/danjoutin/restaurant/le-pot-d-etain,Une étoile, Le Pot d'Étain,+33 3 84 28 31 95,"4 avenue de la République, Danjoutin, 90400, France",Cuisine moderne,"À quelques minutes du Lion de Belfort, ce Pot d’Étain brille de gourmandise grâce à un argentier de talent, le chef Philippe Zeiger qui a fait de son restaurant un temple incontournable de la bonne chère. Il met à l'honneur une cuisine française aussi généreuse que goûteuse, appuyée sur de superbes produits de saison : langoustines, Saint-Jacques, lièvre à la royale, turbot, truffes... Les desserts ne sont pas en reste, notamment l'excellent soufflé chaud, dont les parfums varient avec les saisons. À noter aussi, une riche carte des vins et un service aussi souriant qu'attentif par l'épouse du chef.",Une étoile : une cuisine d’une grande finesse,Une étoile : une cuisine d’une grande finesse,https://www.restaurant-potdetain.fr/,/fr/fr/bourgogne-franche-comte/danjoutin/restaurant/le-pot-d-etain, Danjoutin,90400,"[6.859536, 47.616152]"
423,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/999f621452c348f498a1a03f6a4deda0.jpeg,/fr/fr/bourgogne-franche-comte/demigny_1528149/restaurant/cave-et-cuisine,Gourmande, Cave et Cuisine,+33 6 81 51 95 71,"1 cour du Wauxhall, Demigny, 71150, France",Cuisine traditionnelle,"Une maison de ville aux volets bleus au pied de l’église, une cave de plus de 1000 références, une cheffe, véritable enfant de la balle et un tour de main indéniable en cuisine pour aligner classiques (œufs en meurette, jambon persillé…), des plats au goût du jour (gravlax de saumon), et des spécialités comme le pigeon rôti et les ris de veau. Mon tout se déguste dans un décor de bistrot de bonne facture où le sourire est de mise et les conseils sur les vins judicieux.",Une cuisine de qualité,0,https://cave-et-cuisine.eatbu.com/?lang=fr,/fr/fr/bourgogne-franche-comte/demigny_1528149/restaurant/cave-et-cuisine, Demigny,71150,"[4.837171, 46.931265]"
424,https://d3h1lg3ksw6i6b.cloudfront.net/guide/placeholder/pic_poilist_default_1.jpg,/fr/fr/bourgogne-franche-comte/digoin/restaurant/auberge-de-vigny,Gourmande, Auberge de Vigny,+33 3 85 81 10 13,"Lieu-dit Vigny, Digoin, 71160, France",Cuisine traditionnelle,"Dans cette ancienne salle de classe décorée avec soin, on sert une cuisine qui joue habilement de la tradition et du passage des saisons. La carte est changée régulièrement ; la jolie terrasse donne sur le jardin et le potager... pour une douce étape champêtre.",Une cuisine de qualité,0,https://www.aubergedevigny.fr/www/site.php,/fr/fr/bourgogne-franche-comte/digoin/restaurant/auberge-de-vigny, Digoin,71160,"[4.080161, 46.503773]"
425,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/9956053da1104cc9aae43a4383cc5c87.png,/fr/fr/bourgogne-franche-comte/digoin/restaurant/l-evidence-1213124,Gourmande, L'Évidence,+33 3 85 25 07 26,"14 rue Nationale, Digoin, 71160, France",Cuisine moderne,"Nicolas Martin a pris les rênes du restaurant de l'hôtel VillaPona à Digoin, un ancien relais de poste du Grand Siècle entièrement rénové. La salle respire tout le charme de l'ancien, pimenté de quelques touches contemporaines. Originaire de la région, passé par les maisons Lameloise, Troisgros et le restaurant de Jérôme Brochot, le chef réalise de bonnes assiettes à partir de produits frais de saison : sot-l'y-laisse, châtaignes et potimarron ; pommes et épices douces sur un sablé sarrasin...",Une cuisine de qualité,0,http://www.restaurant-levidence.fr,/fr/fr/bourgogne-franche-comte/digoin/restaurant/l-evidence-1213124, Digoin,71160,"[3.97649, 46.480246]"
426,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/f8414f9e5dc6411f8c4b928935bcb491.jpg,/fr/fr/bourgogne-franche-comte/dijon/restaurant/azerole,Gourmande, Azerole,+33 3 80 60 03 94,"86 rue Berbisey, Dijon, 21000, France",Cuisine Fusion,"Originaire de Chine du Nord, Xin Gan, également épouse du chef du restaurant Parapluie, travaille à cette table fusion franco-asiatique réjouissante, installée dans un cadre simple de néo-bistrot (murs en pierre, tables et chaises en bois foncé). Seule en cuisine, la cheffe associe avec talent les épices, le tofu et autres kimchi, avec des produits français de saison et de qualité, à l'image de ce carré de porc, chimichurri, crème de courgette et curry vert, accompagné d’un trait de houmous onctueux et de rubans de carottes multicolores, liés d'une vinaigrette à l'orange – savoureux !",Une cuisine de qualité,0,http://www.azerole-dijon.fr,/fr/fr/bourgogne-franche-comte/dijon/restaurant/azerole, Dijon,21000,"[5.035738, 47.318201]"
427,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b0e7347cb01f459e808e7f24749cff97.jpeg,/fr/fr/bourgogne-franche-comte/dijon/restaurant/cave,Gourmande, Cave,+33 3 80 41 48 26,"29 rue Jeannin, Dijon, 21000, France",Cuisine traditionnelle,"Le chef Angelo Ferrigno (CIBO) a ouvert un bistrot de l'autre côté de la rue. C'est une petite salle de bois clair avec une table d'hôte, deux comptoirs et un mur de casiers à vin offrant une sélection de petits domaines bio et nature. On distille ici la même philosophie et on travaille avec les mêmes producteurs locaux que dans la maison mère. Le menu du midi est une très bonne affaire, tandis que le soir, le choix se fait à la carte avec des assiettes à partager : cordon bleu maison ; fleurs de courgette en tempura ; tataki de bœuf, vinaigrette gingembre et cébette...",Une cuisine de qualité,0,https://cave.restaurant,/fr/fr/bourgogne-franche-comte/dijon/restaurant/cave, Dijon,21000,"[5.045454, 47.322036]"
428,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/e0efd2f17c2f43238630c8c4abec3966.jpeg,/fr/fr/bourgogne-franche-comte/dijon/restaurant/cibo,Une étoile, CIBO,+33 3 80 28 80 76,"24 rue Jeannin, Dijon, 21000, France",Cuisine moderne,"La salle contemporaine minimaliste, dotée d'une verrière, crée un contraste saisissant avec cette demeure en pierre de Bourgogne du 17e s. Le chef Angelo Ferrigno y propose une cuisine moderne judicieusement créative – ce qui ne l’empêche pas, tant s’en faut, de travailler des produits exclusivement locaux sélectionnés dans un rayon de 200 km. Il compose une cuisine naturelle et tendance, d’inspiration nordique, aux accents bruts, mais aux dressages d’une élégance rare. Le filet de truite bio, délicatement nacré et fondant, le sarrasin soufflé, les œufs de truite et les fines lamelles de radis, ou encore la caille parfaitement cuite au barbecue avec un condiment à l'ail noir, des asperges vertes, enluminée d'un jus de viande réduit et parfumé aux graines de coriandre, sont des modèles de gourmandise. Service attentif et conseils avisés du sommelier parachèvent ce moment. Réservation vivement recommandée.",Une étoile : une cuisine d’une grande finesse,Une étoile : une cuisine d’une grande finesse,https://www.cibo.restaurant/,/fr/fr/bourgogne-franche-comte/dijon/restaurant/cibo, Dijon,21000,"[5.045525, 47.321936]"
429,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/003dbf9b646d4482a5a43f36b7b4878b.jpeg,/fr/fr/bourgogne-franche-comte/dijon/restaurant/l-arome-1192037,Gourmande, L'Arôme,+33 3 80 31 12 46,"2 rue Jean-Jacques-Rousseau, Dijon, 21000, France",Cuisine moderne,"Venez goûter au bonheur dans ce petit havre de gourmandise. Le chef Kadoguchi réalise des assiettes soignées et travaillées, alternant recettes japonaises (gyozas) et franco-françaises (lieu jaune, sauce provençale) ou mixant les deux, avec cette excellente picanha et sa sauce asiatique. Textures et saveurs harmonieuses, cuissons au cordeau, belle sélection de vins et accueil parfait : un coup de cœur !",Une cuisine de qualité,0,https://www.restaurant-aromedijon.com/,/fr/fr/bourgogne-franche-comte/dijon/restaurant/l-arome-1192037, Dijon,21000,"[5.045285, 47.325818]"
430,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/e63ca9ac6d264462803c74cd6bab8273.jpeg,/fr/fr/bourgogne-franche-comte/dijon/restaurant/l-asperule,Une étoile, L'Aspérule,+33 3 80 19 12 84,"43 rue Jean-Jacques-Rousseau, Dijon, 21000, France",Cuisine moderne,"Le chef Keigo Kimura élabore dans son adresse dijonnaise au décor sobre cette cuisine française mâtinée de Japon dont il a le secret. Il cisèle midi et soir des menus uniques (et même ""mystère"" au dîner). Inattaquable sur la précision et l'équilibre (dressage, cuissons, saveurs), il parsème aussi ses assiettes de clins d'œil appréciables à la région : sauces au pinot noir ou au vin jaune, pousses de moutarde... On garde en mémoire ce gyoza au gibier parfumé au gingembre et sa sauce au vin rouge et surtout cette épaule d'agneau cuite lentement puis grillée au binchotan, accompagnée de sa crêpe japonaise - une petite merveille. Dernier atout : sous le restaurant, la luxuriante cave à vins renferme des trésors.",Une étoile : une cuisine d’une grande finesse,Une étoile : une cuisine d’une grande finesse,https://www.restaurant-asperule.fr/,/fr/fr/bourgogne-franche-comte/dijon/restaurant/l-asperule, Dijon,21000,"[5.045006, 47.324818]"
431,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c1d063b96be543528ad3b8c33704cd05.jpeg,/fr/fr/bourgogne-franche-comte/dijon/restaurant/l-essentiel528709,Gourmande, L'Essentiel,+33 3 80 30 14 52,"12 rue Audra, Dijon, 21000, France",Cuisine moderne,"Le chef-patron aux commandes de ce restaurant prisé situé en léger retrait du centre touristique de la ville, concocte un menu carte rythmé par les saisons, aux saveurs marquées et harmonieuses sans oublier des dressages réalisés avec soin. Les pressés préféreront le menu déjeuner attractif. Le tout, à déguster dans le patio, fort prisé aux beaux jours.",Une cuisine de qualité,0,https://restaurant-lessentiel-dijon.fr,/fr/fr/bourgogne-franche-comte/dijon/restaurant/l-essentiel528709, Dijon,21000,"[5.034337, 47.325624]"
432,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/893aae262d5042ef9e7c22c5a3951ba7.jpeg,/fr/fr/bourgogne-franche-comte/dijon/restaurant/l-un-des-sens,Gourmande, L'Un des Sens,+33 3 80 65 75 58,"3 rue Jeannin, Dijon, 21000, France",Cuisine moderne,"Proche du quartier des Antiquaires, ce restaurant propose une goûteuse cuisine, aux dressages soignés et aux saveurs marquées - ainsi  ce carré de veau du Ségala, ravioles de petits pois au pecorino, cébette. Légumes et fruits proviennent souvent du potager du chef. Le soir, menu surprise en plusieurs services, le chef propose également une prestation soignée à prix doux le midi. Agréable terrasse dans la cour.",Une cuisine de qualité,0,https://lundessens-dijon.fr/,/fr/fr/bourgogne-franche-comte/dijon/restaurant/l-un-des-sens, Dijon,21000,"[5.043282, 47.322403]"
433,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/98f0ca8295f343b79ccbfe241d688733.jpeg,/fr/fr/bourgogne-franche-comte/dijon/restaurant/la-maison-des-cariatides,Gourmande, La Maison des Cariatides,+33 3 80 45 59 25,"28 rue Chaudronnerie, Dijon, 21000, France",Cuisine moderne,"Dans le quartier des Antiquaires, ce restaurant situé dans une bâtisse classée du 17e s. avec ces 12 cariatides sur la façade est désormais entre les mains de Vincent et Marie-Cécile Gomis, dont les parcours étoilés se ressentent joliment dans l’assiette. Ils proposent une cuisine moderne aux associations cosmopolites intelligentes à l’instar du gravlax de truite de Crisenon, avocat grillé aux épices jerk ; escargot en fricassée, marinière au vadouvan. Les saveurs et préparations septentrionales sont nombreuses et bien senties tel le lieu de ligne en écailles de poulpe, fleur de courgette, bouillon aux épices de paëlla… Agréable terrasse sur l'arrière.",Une cuisine de qualité,0,https://www.maisondescariatides.com/,/fr/fr/bourgogne-franche-comte/dijon/restaurant/la-maison-des-cariatides, Dijon,21000,"[5.044058, 47.32291]"
